impl,symbol,time,event_sc,event_ar,event_st,event_spring,event_test,event_sos,event_bc,event_sow,bc_score,spring_score,composite_score,debug,event,direction,role,event_date,bar_index
kapman_v0_handwritten_structural,AAPL,2025-04-11,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-04-11', 'idx': 324, 'label': 'AR', 'score': 1.110068973212031}}",AR,NA,IGNORE,2025-04-11,324
kapman_v0_handwritten_structural,ADBE,2025-07-01,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-07-01', 'idx': 378, 'label': 'AR', 'score': 1.126938609643753}}",AR,NA,IGNORE,2025-07-01,378
kapman_v0_handwritten_structural,ADI,2025-08-12,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-08-12', 'idx': 407, 'label': 'AR', 'score': 2.445860461066623}}",AR,NA,IGNORE,2025-08-12,407
kapman_v0_handwritten_structural,AI,2025-08-13,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-08-13', 'idx': 408, 'label': 'AR', 'score': 1.3441453725992727}}",AR,NA,IGNORE,2025-08-13,408
kapman_v0_handwritten_structural,AMD,2025-05-07,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-05-07', 'idx': 341, 'label': 'AR', 'score': 0.5915020470217311}}",AR,NA,IGNORE,2025-05-07,341
kapman_v0_handwritten_structural,ANET,2024-08-06,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-08-06', 'idx': 153, 'label': 'AR', 'score': 0.8158085984622924}}",AR,NA,IGNORE,2024-08-06,153
kapman_v0_handwritten_structural,ASML,2025-08-12,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-08-12', 'idx': 407, 'label': 'AR', 'score': 0.8426308233535538}}",AR,NA,IGNORE,2025-08-12,407
kapman_v0_handwritten_structural,BBAI,2024-08-21,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-08-21', 'idx': 164, 'label': 'AR', 'score': 4.545167483639983}}",AR,NA,IGNORE,2024-08-21,164
kapman_v0_handwritten_structural,BIDU,2024-07-10,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-07-10', 'idx': 134, 'label': 'AR', 'score': 1.5547210053478995}}",AR,NA,IGNORE,2024-07-10,134
kapman_v0_handwritten_structural,CEG,2024-06-18,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-06-18', 'idx': 120, 'label': 'AR', 'score': 1.0499615071629522}}",AR,NA,IGNORE,2024-06-18,120
kapman_v0_handwritten_structural,CRM,2024-06-03,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-06-03', 'idx': 109, 'label': 'AR', 'score': 1.4099493284793911}}",AR,NA,IGNORE,2024-06-03,109
kapman_v0_handwritten_structural,CRWV,2025-09-22,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-09-22', 'idx': 121, 'label': 'AR', 'score': 2.269403835036462}}",AR,NA,IGNORE,2025-09-22,121
kapman_v0_handwritten_structural,CXM,2025-12-03,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-12-03', 'idx': 486, 'label': 'AR', 'score': 4.203135493668245}}",AR,NA,IGNORE,2025-12-03,486
kapman_v0_handwritten_structural,DOMO,2025-04-07,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-04-07', 'idx': 320, 'label': 'AR', 'score': 1.5806404860869872}}",AR,NA,IGNORE,2025-04-07,320
kapman_v0_handwritten_structural,DXCM,2025-04-09,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-04-09', 'idx': 322, 'label': 'AR', 'score': 4.053892667794761}}",AR,NA,IGNORE,2025-04-09,322
kapman_v0_handwritten_structural,FN,2025-04-07,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-04-07', 'idx': 320, 'label': 'AR', 'score': 2.607639899536833}}",AR,NA,IGNORE,2025-04-07,320
kapman_v0_handwritten_structural,FRSH,2024-05-28,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-05-28', 'idx': 105, 'label': 'AR', 'score': 0.7597552188663019}}",AR,NA,IGNORE,2024-05-28,105
kapman_v0_handwritten_structural,GEV,2025-11-07,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-11-07', 'idx': 403, 'label': 'AR', 'score': 1.095062817915393}}",AR,NA,IGNORE,2025-11-07,403
kapman_v0_handwritten_structural,HON,2025-04-11,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-04-11', 'idx': 324, 'label': 'AR', 'score': 0.6855598972283882}}",AR,NA,IGNORE,2025-04-11,324
kapman_v0_handwritten_structural,INTC,2025-06-17,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-06-17', 'idx': 369, 'label': 'AR', 'score': 0.5490177070852229}}",AR,NA,IGNORE,2025-06-17,369
kapman_v0_handwritten_structural,INVZ,2024-11-27,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-11-27', 'idx': 233, 'label': 'AR', 'score': 0.7485849373143918}}",AR,NA,IGNORE,2024-11-27,233
kapman_v0_handwritten_structural,LEU,2025-04-09,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-04-09', 'idx': 322, 'label': 'AR', 'score': 1.842309323057113}}",AR,NA,IGNORE,2025-04-09,322
kapman_v0_handwritten_structural,LIDR,2024-12-09,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-12-09', 'idx': 240, 'label': 'AR', 'score': 2.1536737527035794}}",AR,NA,IGNORE,2024-12-09,240
kapman_v0_handwritten_structural,META,2025-11-07,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-11-07', 'idx': 469, 'label': 'AR', 'score': 0.717039641168817}}",AR,NA,IGNORE,2025-11-07,469
kapman_v0_handwritten_structural,MSFT,2024-08-29,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-08-29', 'idx': 170, 'label': 'AR', 'score': 1.01368636673581}}",AR,NA,IGNORE,2024-08-29,170
kapman_v0_handwritten_structural,NICE,2025-02-21,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-02-21', 'idx': 289, 'label': 'AR', 'score': 1.169516761921249}}",AR,NA,IGNORE,2025-02-21,289
kapman_v0_handwritten_structural,NOTE,2024-11-21,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-11-21', 'idx': 229, 'label': 'AR', 'score': 0.7933471922757714}}",AR,NA,IGNORE,2024-11-21,229
kapman_v0_handwritten_structural,NXE,2025-08-29,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-08-29', 'idx': 420, 'label': 'AR', 'score': 3.244665120738962}}",AR,NA,IGNORE,2025-08-29,420
kapman_v0_handwritten_structural,ORCL,2024-03-12,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-03-12', 'idx': 52, 'label': 'AR', 'score': 3.5862238827216393}}",AR,NA,IGNORE,2024-03-12,52
kapman_v0_handwritten_structural,PANW,2024-02-27,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-02-27', 'idx': 42, 'label': 'AR', 'score': 2.170318322737539}}",AR,NA,IGNORE,2024-02-27,42
kapman_v0_handwritten_structural,PEGA,2025-10-22,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-10-22', 'idx': 457, 'label': 'AR', 'score': 4.2826903993783025}}",AR,NA,IGNORE,2025-10-22,457
kapman_v0_handwritten_structural,PLTR,2024-08-06,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-08-06', 'idx': 153, 'label': 'AR', 'score': 1.1043860482957901}}",AR,NA,IGNORE,2024-08-06,153
kapman_v0_handwritten_structural,PODD,2024-08-12,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-08-12', 'idx': 157, 'label': 'AR', 'score': 0.9598747517999743}}",AR,NA,IGNORE,2024-08-12,157
kapman_v0_handwritten_structural,QUBT,2024-07-03,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-07-03', 'idx': 130, 'label': 'AR', 'score': 0.8095511273041089}}",AR,NA,IGNORE,2024-07-03,130
kapman_v0_handwritten_structural,RELX,2024-08-07,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-08-07', 'idx': 154, 'label': 'AR', 'score': 1.013165031986245}}",AR,NA,IGNORE,2024-08-07,154
kapman_v0_handwritten_structural,ROK,2025-08-12,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-08-12', 'idx': 407, 'label': 'AR', 'score': 1.2534782373716693}}",AR,NA,IGNORE,2025-08-12,407
kapman_v0_handwritten_structural,RR,2024-06-10,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-06-10', 'idx': 114, 'label': 'AR', 'score': 1.4305076666367975}}",AR,NA,IGNORE,2024-06-10,114
kapman_v0_handwritten_structural,S,2024-06-05,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-06-05', 'idx': 111, 'label': 'AR', 'score': 0.7296389637287551}}",AR,NA,IGNORE,2024-06-05,111
kapman_v0_handwritten_structural,SENS,2024-09-12,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-09-12', 'idx': 179, 'label': 'AR', 'score': 1.1486948014979135}}",AR,NA,IGNORE,2024-09-12,179
kapman_v0_handwritten_structural,SONY,2024-06-04,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-06-04', 'idx': 110, 'label': 'AR', 'score': 0.5308523099670205}}",AR,NA,IGNORE,2024-06-04,110
kapman_v0_handwritten_structural,SPCE,2025-04-09,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-04-09', 'idx': 322, 'label': 'AR', 'score': 1.3212678640737134}}",AR,NA,IGNORE,2025-04-09,322
kapman_v0_handwritten_structural,STRL,2025-04-09,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-04-09', 'idx': 322, 'label': 'AR', 'score': 4.5702157402680665}}",AR,NA,IGNORE,2025-04-09,322
kapman_v0_handwritten_structural,TDC,2025-08-13,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-08-13', 'idx': 408, 'label': 'AR', 'score': 0.9126123357075022}}",AR,NA,IGNORE,2025-08-13,408
kapman_v0_handwritten_structural,TDY,2025-04-09,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-04-09', 'idx': 322, 'label': 'AR', 'score': 3.551545049144576}}",AR,NA,IGNORE,2025-04-09,322
kapman_v0_handwritten_structural,TRI,2025-04-11,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-04-11', 'idx': 324, 'label': 'AR', 'score': 1.0013667260250745}}",AR,NA,IGNORE,2025-04-11,324
kapman_v0_handwritten_structural,UEC,2024-12-05,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-12-05', 'idx': 238, 'label': 'AR', 'score': 0.931326853157414}}",AR,NA,IGNORE,2024-12-05,238
kapman_v0_handwritten_structural,WDAY,2025-09-17,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-09-17', 'idx': 432, 'label': 'AR', 'score': 1.0688542863392712}}",AR,NA,IGNORE,2025-09-17,432
kapman_v0_handwritten_structural,ZM,2024-02-28,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-02-28', 'idx': 43, 'label': 'AR', 'score': 2.0093185561587403}}",AR,NA,IGNORE,2024-02-28,43
kapman_v0_handwritten_structural,ZS,2025-04-09,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-04-09', 'idx': 322, 'label': 'AR', 'score': 3.758279413554999}}",AR,NA,IGNORE,2025-04-09,322
